
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
52:CC:86:A4:A2:0A, 2020-03-01 04:05:52, 2020-03-01 04:05:52, -22,        1, (not associated) ,
02:94:BB:18:63:E9, 2020-03-01 04:06:06, 2020-03-01 04:06:06, -88,        1, (not associated) ,
7A:FE:88:AD:8D:C9, 2020-03-01 04:07:54, 2020-03-01 04:07:54, -87,        1, (not associated) ,
1E:2F:35:68:B6:24, 2020-03-01 04:08:39, 2020-03-01 04:08:39, -87,        1, (not associated) ,
10:3D:0A:8D:D7:A5, 2020-03-01 04:04:43, 2020-03-01 04:08:43, -91,       52, (not associated) ,Isabella’s iPhone
14:49:E0:56:54:0B, 2020-03-01 04:04:42, 2020-03-01 04:08:43, -64,      543, 34:E8:94:8B:85:33,
14:49:E0:56:54:5D, 2020-03-01 04:04:44, 2020-03-01 04:08:44, -63,      582, 34:E8:94:8B:85:33,
14:49:E0:56:48:D0, 2020-03-01 04:04:43, 2020-03-01 04:08:44, -61,      545, 34:E8:94:8B:85:33,
38:F9:D3:22:65:EB, 2020-03-01 04:04:42, 2020-03-01 04:08:42, -55,      105, 34:E8:94:8B:85:33,FortSutti
14:49:E0:53:DE:A6, 2020-03-01 04:04:42, 2020-03-01 04:08:44, -50,      421, 34:E8:94:8B:85:33,
48:5A:3F:67:A5:83, 2020-03-01 04:04:43, 2020-03-01 04:08:43, -48,      302, 34:E8:94:8B:85:33,
AC:84:C6:18:67:5E, 2020-03-01 04:04:43, 2020-03-01 04:08:45, -44,       50, 34:E8:94:8B:85:33,
14:49:E0:56:48:B1, 2020-03-01 04:04:45, 2020-03-01 04:08:42, -44,      612, 34:E8:94:8B:85:33,
3C:95:09:8F:3C:1D, 2020-03-01 04:04:42, 2020-03-01 04:08:45, -42,   438461, 34:E8:94:8B:85:33,
54:60:09:6E:2B:7C, 2020-03-01 04:04:42, 2020-03-01 04:08:45, -42,     2447, 34:E8:94:8B:85:33,FortSutti
70:1C:E7:CF:74:48, 2020-03-01 04:04:45, 2020-03-01 04:08:45, -41,     5529, 34:E8:94:8B:85:33,FortSutti
E4:F0:42:B2:4A:E7, 2020-03-01 04:04:43, 2020-03-01 04:08:45, -39,      682, 34:E8:94:8B:85:33,FortSutti
D4:61:DA:4F:8E:44, 2020-03-01 04:04:47, 2020-03-01 04:08:20, -36,       81, 34:E8:94:8B:85:33,
A8:DB:03:E0:1F:76, 2020-03-01 04:04:45, 2020-03-01 04:08:24, -26,      844, 34:E8:94:8B:85:33,FortSutti,xE9T;K;`IKH4tvq*O?+,FortSutti

B:85:33,FortSutti,xE9T;K;`IKH4tvq*O?+,FortSutti
1E:2F:35:68:B6:24, 2020-03-01 04:08:39, 2020-03-01 04:08:39, -87,        1, (not associated) ,

